reservation_id,request_id,check_in_date,check_out_date,guests,preferred_room_type,room_id,room_type,price_per_night,total_price,status,creation_date
12b52ed1,8037e132,2023-08-10,2023-08-14,3,,11,confort,142.25,569.0,confirmed,2025-03-09T16:03:48.110563
f54acd23,93ee72e8,2023-08-14,2023-08-17,2,confort,9,confort,166.33333333333334,499.0,confirmed,2025-03-09T16:03:48.111045
cf575d13,fd5a8792,2023-08-09,2023-08-15,3,,12,confort,149.33333333333334,896.0,confirmed,2025-03-09T16:03:48.111831
c238c3ed,fcace20e,2023-08-09,2023-08-14,4,suite,15,suite,211.2,1056.0,confirmed,2025-03-09T16:03:48.112496
85743f9f,2a3756ef,2023-09-04,2023-09-07,2,standard,1,standard,115.0,345.0,confirmed,2025-03-09T16:03:48.112718
82a47b25,ed3ef60e,2023-08-28,2023-09-02,3,confort,11,confort,161.8,809.0,confirmed,2025-03-09T16:03:48.113228
e1113083,4b8a8b61,2023-08-17,2023-08-19,2,,1,standard,115.0,230.0,confirmed,2025-03-09T16:03:48.113606
66aa3789,6b131c73,2023-08-28,2023-09-01,2,suite,15,suite,100.5,402.0,confirmed,2025-03-09T16:03:48.114843
850344d5,791d1124,2023-09-01,2023-09-04,3,confort,10,confort,149.33333333333334,448.0,confirmed,2025-03-09T16:03:48.115183
3326540d,32fc0464,2023-08-23,2023-08-27,2,confort,11,confort,103.5,414.0,confirmed,2025-03-09T16:03:48.115491
26db6530,2114d911,2023-08-16,2023-08-18,2,confort,6,confort,115.0,230.0,confirmed,2025-03-09T16:03:48.117055
db9aac85,46f67dbb,2023-08-25,2023-08-27,1,standard,1,standard,92.0,184.0,confirmed,2025-03-09T16:03:48.117577
f652ee84,c62fd525,2023-08-26,2023-08-28,4,suite,15,suite,219.0,438.0,confirmed,2025-03-09T16:03:48.118080
7aad9973,249c2ef2,2023-08-28,2023-08-31,3,,9,confort,149.33333333333334,448.0,confirmed,2025-03-09T16:03:48.118301
8fbb9e64,151e657f,2023-08-15,2023-08-16,3,confort,7,confort,138.0,138.0,confirmed,2025-03-09T16:03:48.118663
eac36f12,545bcad0,2023-09-02,2023-09-04,2,standard,1,standard,103.5,207.0,confirmed,2025-03-09T16:03:48.120025
3bba6f77,760a3d96,2023-09-01,2023-09-06,3,,12,confort,151.6,758.0,confirmed,2025-03-09T16:03:48.120311
6f74f911,d2e6635b,2023-08-16,2023-08-18,3,suite,14,suite,258.0,516.0,confirmed,2025-03-09T16:03:48.120951
a16a5138,f1fcc2ba,2023-08-28,2023-08-29,2,standard,5,standard,103.0,103.0,confirmed,2025-03-09T16:03:48.121124
9f1b39ba,719187e2,2023-08-31,2023-09-03,2,standard,2,standard,95.66666666666667,287.0,confirmed,2025-03-09T16:03:48.121494
f3c625fe,b0c2162d,2023-08-15,2023-08-18,3,confort,8,confort,149.33333333333334,448.0,confirmed,2025-03-09T16:03:48.121978
978c4040,7b4a2aea,2023-09-09,2023-09-11,2,,1,standard,115.0,230.0,confirmed,2025-03-09T16:03:48.122753
25e03f28,f22bd81b,2023-08-22,2023-08-28,3,,12,confort,149.33333333333334,896.0,confirmed,2025-03-09T16:03:48.123091
585121f3,7d72fab4,2023-08-21,2023-08-26,3,suite,13,suite,226.8,1134.0,confirmed,2025-03-09T16:03:48.123315
326ac9f8,3fa07d8f,2023-09-02,2023-09-06,3,suite,15,suite,150.75,603.0,confirmed,2025-03-09T16:03:48.124300
e529edbc,d364131f,2023-08-30,2023-09-01,2,,3,standard,92.0,184.0,confirmed,2025-03-09T16:03:48.124611
80b6fcb8,afe7265a,2023-09-05,2023-09-08,3,confort,7,confort,160.66666666666666,482.0,confirmed,2025-03-09T16:03:48.125352
849dabbf,4b0e6650,2023-08-14,2023-08-16,2,standard,2,standard,97.5,195.0,confirmed,2025-03-09T16:03:48.126186
b39647a4,e5ba06fb,2023-09-07,2023-09-09,2,standard,1,standard,115.0,230.0,confirmed,2025-03-09T16:03:48.126522
dd068cf8,c39d3be8,2023-08-31,2023-09-02,2,standard,4,standard,97.5,195.0,confirmed,2025-03-09T16:03:48.127553
8ad0d78e,c73b7055,2023-08-20,2023-08-23,2,confort,8,confort,160.66666666666666,482.0,confirmed,2025-03-09T16:03:48.128281
2d0aa89e,cb18c576,2023-08-14,2023-08-16,2,confort,11,confort,103.0,206.0,confirmed,2025-03-09T16:03:48.129342
77def2a9,9e0e5e3a,2023-09-06,2023-09-10,2,,2,standard,115.0,460.0,confirmed,2025-03-09T16:03:48.131644
bc0d1c85,b7890d36,2023-08-16,2023-08-20,1,standard,2,standard,103.5,414.0,confirmed,2025-03-09T16:03:48.131926
6398c6bc,9f8b6a9e,2023-09-04,2023-09-06,2,standard,2,standard,92.0,184.0,confirmed,2025-03-09T16:03:48.132226
d13985b8,d578d1de,2023-08-16,2023-08-19,3,,7,confort,149.33333333333334,448.0,confirmed,2025-03-09T16:03:48.132512
619271e5,05a372dc,2023-09-11,2023-09-14,2,suite,13,suite,258.0,774.0,confirmed,2025-03-09T16:03:48.132772
8d3bf90f,ffa803ba,2023-09-03,2023-09-05,2,standard,3,standard,92.0,184.0,confirmed,2025-03-09T16:03:48.133516
083d6aa8,cd76b73e,2023-08-28,2023-08-29,2,suite,13,suite,180.0,180.0,confirmed,2025-03-09T16:03:48.133832
002c2b4d,0e39c8d6,2023-08-24,2023-08-26,2,standard,2,standard,103.0,206.0,confirmed,2025-03-09T16:03:48.134270
c763fe81,743da0e0,2023-08-20,2023-08-23,4,suite,14,suite,240.66666666666666,722.0,confirmed,2025-03-09T16:03:48.135005
dc89804a,9c58a083,2023-08-20,2023-08-22,4,suite,15,suite,258.0,516.0,confirmed,2025-03-09T16:03:48.135911
7baef247,ddb4612e,2023-09-02,2023-09-04,2,confort,11,confort,155.0,310.0,confirmed,2025-03-09T16:03:48.136187
b525545e,41651926,2023-08-22,2023-08-28,1,,5,standard,99.33333333333333,596.0,confirmed,2025-03-09T16:03:48.136526
3d8e9186,dff85e3a,2023-08-31,2023-09-02,3,suite,13,suite,232.0,464.0,confirmed,2025-03-09T16:03:48.136760
8e4252a6,33c9e0bd,2023-08-17,2023-08-19,2,confort,9,confort,155.0,310.0,confirmed,2025-03-09T16:03:48.137123
4420d58a,87f8d0d3,2023-08-18,2023-08-22,2,confort,10,confort,146.5,586.0,confirmed,2025-03-09T16:03:48.137735
b30fb495,f2d82386,2023-09-05,2023-09-11,2,,3,standard,111.16666666666667,667.0,confirmed,2025-03-09T16:03:48.138412
602c811c,41ee7e33,2023-08-18,2023-08-22,2,standard,3,standard,97.75,391.0,confirmed,2025-03-09T16:03:48.138626
8b45e93e,271830cd,2023-09-11,2023-09-15,1,confort,6,confort,172.0,688.0,confirmed,2025-03-09T16:03:48.140325
3923e1d8,471eea6f,2023-09-05,2023-09-12,2,standard,4,standard,106.71428571428571,747.0,confirmed,2025-03-09T16:03:48.140563
b29369c8,08bfbdf4,2023-08-21,2023-08-23,3,,11,confort,146.5,293.0,confirmed,2025-03-09T16:03:48.140743
33e783b4,7f1f5292,2023-08-18,2023-08-23,2,,4,standard,96.4,482.0,confirmed,2025-03-09T16:03:48.140918
03017a7d,e7ff7de1,2023-09-09,2023-09-12,2,confort,7,confort,160.66666666666666,482.0,confirmed,2025-03-09T16:03:48.141226
97437c8f,b6660682,2023-08-19,2023-08-20,3,confort,7,confort,138.0,138.0,confirmed,2025-03-09T16:03:48.141696
8f504a11,25552b75,2023-09-04,2023-09-07,3,confort,8,confort,149.33333333333334,448.0,confirmed,2025-03-09T16:03:48.142470
0c904a5f,0a7322f4,2023-08-20,2023-08-23,2,,2,standard,103.0,309.0,confirmed,2025-03-09T16:03:48.142994
ef8d4280,3aeaed34,2023-09-10,2023-09-13,3,suite,14,suite,240.66666666666666,722.0,confirmed,2025-03-09T16:03:48.143443
fd21027a,ecd732c4,2023-09-06,2023-09-08,2,standard,5,standard,92.0,184.0,confirmed,2025-03-09T16:03:48.143948
86598ce4,d305ee9b,2023-08-31,2023-09-01,2,confort,6,confort,155.0,155.0,confirmed,2025-03-09T16:03:48.144239
ecca017b,7ae2dce3,2023-08-19,2023-08-22,3,confort,9,confort,149.33333333333334,448.0,confirmed,2025-03-09T16:03:48.144515
16d283e6,d4c5b31c,2023-09-09,2023-09-10,3,confort,8,confort,138.0,138.0,confirmed,2025-03-09T16:03:48.145656
89a85a66,2d9e16de,2023-09-03,2023-09-06,2,standard,5,standard,103.0,309.0,confirmed,2025-03-09T16:03:48.145836
067ef910,ec195c7f,2023-09-04,2023-09-08,2,,9,confort,150.75,603.0,confirmed,2025-03-09T16:03:48.146299
f7bb97ec,b0c4bfa4,2023-09-16,2023-09-19,2,confort,6,confort,132.0,396.0,confirmed,2025-03-09T16:03:48.146605
7cb16408,743cc3dc,2023-09-10,2023-09-17,4,suite,15,suite,234.71428571428572,1643.0,confirmed,2025-03-09T16:03:48.147750
6aa0486e,0b9da705,2023-08-18,2023-08-20,2,suite,13,suite,232.0,464.0,confirmed,2025-03-09T16:03:48.147957
7a8ddae2,ef82059d,2023-09-15,2023-09-17,2,confort,7,confort,101.5,203.0,confirmed,2025-03-09T16:03:48.149396
9aa310d0,5e156c26,2023-09-06,2023-09-13,3,confort,10,confort,147.71428571428572,1034.0,confirmed,2025-03-09T16:03:48.150291
06535350,bf83903d,2023-09-17,2023-09-18,2,standard,1,standard,88.0,88.0,confirmed,2025-03-09T16:03:48.150814
009910a1,f130e2cb,2023-08-30,2023-09-01,2,confort,7,confort,103.0,206.0,confirmed,2025-03-09T16:03:48.151005
30f1f31d,af0b2593,2023-08-23,2023-08-25,2,,1,standard,103.0,206.0,confirmed,2025-03-09T16:03:48.151175
967e9e2a,60fdf09c,2023-08-22,2023-08-26,2,standard,3,standard,103.0,412.0,confirmed,2025-03-09T16:03:48.151584
260dbafb,a7431f5f,2023-09-07,2023-09-10,2,,11,confort,149.33333333333334,448.0,confirmed,2025-03-09T16:03:48.151825
d63dd8aa,8c9e5644,2023-08-19,2023-08-22,2,confort,12,confort,103.0,309.0,confirmed,2025-03-09T16:03:48.152156
4b74a062,fdd3f470,2023-09-09,2023-09-11,4,suite,13,suite,232.0,464.0,confirmed,2025-03-09T16:03:48.153270
9ffd754c,36ec2dfb,2023-08-26,2023-08-27,2,suite,13,suite,232.0,232.0,confirmed,2025-03-09T16:03:48.153658
5abc38a2,e672d8c7,2023-09-15,2023-09-18,2,,2,standard,97.0,291.0,confirmed,2025-03-09T16:03:48.153965
2010e668,814d28ed,2023-08-25,2023-08-28,3,,6,confort,155.0,465.0,confirmed,2025-03-09T16:03:48.154697
ab01f341,7d6e920d,2023-09-14,2023-09-15,2,suite,13,suite,115.0,115.0,confirmed,2025-03-09T16:03:48.154913
42339666,a2b37a86,2023-08-29,2023-08-31,2,standard,1,standard,103.0,206.0,confirmed,2025-03-09T16:03:48.155084
d9936dc0,b377f899,2023-09-08,2023-09-15,2,,5,standard,101.71428571428571,712.0,confirmed,2025-03-09T16:03:48.155465
ba9d4b23,b3ba78f2,2023-09-06,2023-09-08,2,suite,13,suite,155.0,310.0,confirmed,2025-03-09T16:03:48.156362
8b677280,1e39687a,2023-09-12,2023-09-13,3,,7,confort,138.0,138.0,confirmed,2025-03-09T16:03:48.157272
b695d3a1,6983bfd2,2023-09-12,2023-09-16,3,,8,confort,163.5,654.0,confirmed,2025-03-09T16:03:48.158089
d7f0805b,29af58aa,2023-08-23,2023-08-25,2,standard,4,standard,111.5,223.0,confirmed,2025-03-09T16:03:48.158276
5bd90bf6,09587a14,2023-08-31,2023-09-02,2,,5,standard,103.0,206.0,confirmed,2025-03-09T16:03:48.159537
ecc9380e,498c4cac,2023-09-09,2023-09-11,3,,9,confort,155.0,310.0,confirmed,2025-03-09T16:03:48.160089
f5227f4b,ebd58506,2023-09-17,2023-09-23,1,,3,standard,88.0,528.0,confirmed,2025-03-09T16:03:48.160323
e9961346,d1f1d622,2023-09-11,2023-09-15,2,standard,1,standard,97.5,390.0,confirmed,2025-03-09T16:03:48.160514
b71b82bd,d047d33b,2023-09-16,2023-09-21,2,confort,8,confort,88.0,440.0,confirmed,2025-03-09T16:03:48.160852
19a1efa5,88172453,2023-09-14,2023-09-21,2,confort,9,confort,131.14285714285714,918.0,confirmed,2025-03-09T16:03:48.161269
c7dad338,60d86c98,2023-09-17,2023-09-19,3,confort,7,confort,119.0,238.0,confirmed,2025-03-09T16:03:48.161811
d4fe024e,27ad12f9,2023-09-06,2023-09-10,2,,12,confort,161.25,645.0,confirmed,2025-03-09T16:03:48.163300
4570ca46,e0592391,2023-09-17,2023-09-22,4,suite,13,suite,183.0,915.0,confirmed,2025-03-09T16:03:48.165655
89ddd833,c02bf7d9,2023-09-18,2023-09-22,1,,1,standard,83.75,335.0,confirmed,2025-03-09T16:03:48.166127
da9c66b0,5cc228f8,2023-08-28,2023-08-31,3,,12,confort,163.33333333333334,490.0,confirmed,2025-03-09T16:03:48.166977
99351efc,b685e2cd,2023-09-13,2023-09-15,2,standard,2,standard,92.0,184.0,confirmed,2025-03-09T16:03:48.168545
91695eb5,3c99db8b,2023-09-22,2023-09-27,3,confort,6,confort,132.0,660.0,confirmed,2025-03-09T16:03:48.168890
68bf4153,e171b570,2023-09-17,2023-09-22,1,,4,standard,76.2,381.0,confirmed,2025-03-09T16:03:48.169812
e35bdb20,a7879d30,2023-09-14,2023-09-17,3,,10,confort,133.0,399.0,confirmed,2025-03-09T16:03:48.170400
c718893a,3445f9b6,2023-09-08,2023-09-10,4,suite,14,suite,251.0,502.0,confirmed,2025-03-09T16:03:48.170594
9913b8df,51ccccf9,2023-09-16,2023-09-18,3,,11,confort,112.5,225.0,confirmed,2025-03-09T16:03:48.170810
c62b5204,1465dd3d,2023-09-18,2023-09-20,3,confort,10,confort,112.5,225.0,confirmed,2025-03-09T16:03:48.170986
521512a4,4f3f3d36,2023-09-18,2023-09-20,2,,2,standard,75.5,151.0,confirmed,2025-03-09T16:03:48.171523
5ef5dea2,05265294,2023-09-11,2023-09-15,2,standard,3,standard,100.25,401.0,confirmed,2025-03-09T16:03:48.172765
a6252a6d,d7877512,2023-09-16,2023-09-18,3,confort,12,confort,119.0,238.0,confirmed,2025-03-09T16:03:48.173178
fc52ff9e,1dd1e218,2023-09-13,2023-09-14,2,,4,standard,103.0,103.0,confirmed,2025-03-09T16:03:48.173721
6db60da0,cb48c66d,2023-09-22,2023-09-24,2,standard,1,standard,88.0,176.0,confirmed,2025-03-09T16:03:48.174659
27d67889,2b64818e,2023-09-18,2023-09-21,3,,11,confort,114.66666666666667,344.0,confirmed,2025-03-09T16:03:48.175239
c9724e62,c7f99789,2023-09-07,2023-09-09,2,,8,confort,167.5,335.0,confirmed,2025-03-09T16:03:48.176183
956d5caa,fb1815e4,2023-09-23,2023-09-24,3,confort,7,confort,132.0,132.0,confirmed,2025-03-09T16:03:48.176776
f75729e6,3f6bd5cc,2023-09-23,2023-09-27,2,,2,standard,88.0,352.0,confirmed,2025-03-09T16:03:48.177013
748dcd4e,db325758,2023-09-25,2023-09-29,2,confort,7,confort,132.0,528.0,confirmed,2025-03-09T16:03:48.177260
8db33b6f,33d761f1,2023-09-11,2023-09-13,2,,2,standard,103.0,206.0,confirmed,2025-03-09T16:03:48.178150
150d9512,f95a5b43,2023-09-10,2023-09-16,3,,11,confort,152.16666666666666,913.0,confirmed,2025-03-09T16:03:48.178498
772427e2,a189cf3d,2023-09-15,2023-09-16,2,,1,standard,92.0,92.0,confirmed,2025-03-09T16:03:48.179124
22685e0a,4b4bd55b,2023-09-18,2023-09-21,3,,12,confort,114.66666666666667,344.0,confirmed,2025-03-09T16:03:48.180096
8c2503b8,a21aa046,2023-09-21,2023-09-24,2,standard,5,standard,88.0,264.0,confirmed,2025-03-09T16:03:48.180645
ca46649f,804cf4de,2023-09-14,2023-09-16,2,confort,12,confort,103.0,206.0,confirmed,2025-03-09T16:03:48.181082
91faf4d7,e19ed77e,2023-09-23,2023-09-25,2,standard,3,standard,79.5,159.0,confirmed,2025-03-09T16:03:48.181578
5f0a4bf5,84e4a42c,2023-09-20,2023-09-22,2,,2,standard,75.5,151.0,confirmed,2025-03-09T16:03:48.181838
98625806,9082e6a1,2023-09-14,2023-09-18,3,suite,14,suite,215.0,860.0,confirmed,2025-03-09T16:03:48.182181
19447771,2bf97349,2023-09-23,2023-09-27,4,suite,13,suite,189.0,756.0,confirmed,2025-03-09T16:03:48.182970
d46c4804,214aa273,2023-09-19,2023-09-21,2,standard,5,standard,80.0,160.0,confirmed,2025-03-09T16:03:48.183212
096ee22d,e578f37f,2023-09-23,2023-09-25,2,standard,4,standard,79.5,159.0,confirmed,2025-03-09T16:03:48.184776
9a04f61f,8caac6f4,2023-09-03,2023-09-04,4,suite,14,suite,232.0,232.0,confirmed,2025-03-09T16:03:48.185408
dcf28e05,cf255013,2023-08-31,2023-09-02,3,suite,14,suite,251.0,502.0,confirmed,2025-03-09T16:03:48.186415
d2a7b4f6,0fe90b1c,2023-09-15,2023-09-17,4,suite,13,suite,205.5,411.0,confirmed,2025-03-09T16:03:48.186658
d71231e9,0f41caa9,2023-09-21,2023-09-22,2,confort,6,confort,106.0,106.0,confirmed,2025-03-09T16:03:48.188050
6047eb6e,de5c9b65,2023-09-11,2023-09-12,2,,8,confort,180.0,180.0,confirmed,2025-03-09T16:03:48.188423
73c0acc7,1747b847,2023-09-25,2023-09-28,4,suite,14,suite,199.0,597.0,confirmed,2025-03-09T16:03:48.189656
ef8f324a,2ab0ce64,2023-09-26,2023-09-30,3,confort,8,confort,125.5,502.0,confirmed,2025-03-09T16:03:48.189871
1367c773,a6e578b6,2023-09-17,2023-09-19,4,suite,15,suite,218.0,436.0,confirmed,2025-03-09T16:03:48.190838
17e9c7ee,bb865466,2023-09-20,2023-09-26,2,confort,10,confort,114.66666666666667,688.0,confirmed,2025-03-09T16:03:48.191866
8d0718de,4b980b23,2023-09-25,2023-09-28,1,standard,1,standard,76.66666666666667,230.0,confirmed,2025-03-09T16:03:48.192236
9f46addd,8821ad26,2023-09-22,2023-09-27,4,,15,suite,163.0,815.0,confirmed,2025-03-09T16:03:48.199238
a91ec41f,429cb73a,2023-09-29,2023-10-01,3,confort,6,confort,132.0,264.0,confirmed,2025-03-09T16:03:48.199954
5c3db8ee,139b2dbe,2023-09-20,2023-09-23,3,confort,7,confort,114.66666666666667,344.0,confirmed,2025-03-09T16:03:48.200903
4bb1caf4,6a8cb827,2023-09-26,2023-09-29,3,confort,9,confort,127.66666666666667,383.0,confirmed,2025-03-09T16:03:48.202595
0c3d5012,07fdf9ce,2023-09-29,2023-10-06,4,suite,13,suite,199.0,1393.0,confirmed,2025-03-09T16:03:48.203405
51cbaa0f,05f85de8,2023-09-28,2023-09-30,2,standard,1,standard,88.0,176.0,confirmed,2025-03-09T16:03:48.203909
894017c1,34ce8e12,2023-09-30,2023-10-04,2,,1,standard,88.0,352.0,confirmed,2025-03-09T16:03:48.204387
9b5046cc,b26156e5,2023-10-01,2023-10-02,2,confort,6,confort,88.0,88.0,confirmed,2025-03-09T16:03:48.204641
ad81e0d0,842c644f,2023-09-27,2023-10-02,2,standard,2,standard,84.6,423.0,confirmed,2025-03-09T16:03:48.205117
33098f11,6ab207cc,2023-09-30,2023-10-06,2,standard,3,standard,88.0,528.0,confirmed,2025-03-09T16:03:48.207728
2bba7d00,e97f3a35,2023-10-01,2023-10-04,2,confort,7,confort,123.33333333333333,370.0,confirmed,2025-03-09T16:03:48.208131
02b79382,ebefbdea,2023-09-30,2023-10-03,2,standard,4,standard,76.66666666666667,230.0,confirmed,2025-03-09T16:03:48.208696
8cf85b8f,370e788c,2023-09-23,2023-09-25,2,confort,8,confort,112.5,225.0,confirmed,2025-03-09T16:03:48.209515
0bd95631,ff9cf1bd,2023-09-22,2023-09-26,2,confort,9,confort,115.75,463.0,confirmed,2025-03-09T16:03:48.211515
0ed26d3d,01723c19,2023-09-24,2023-09-25,3,confort,7,confort,119.0,119.0,confirmed,2025-03-09T16:03:48.211845
5ea1d1fe,8d12a93d,2023-09-22,2023-09-23,2,standard,2,standard,80.0,80.0,confirmed,2025-03-09T16:03:48.214026
d39f506c,333a0a9a,2023-09-28,2023-10-03,3,confort,10,confort,106.0,530.0,confirmed,2025-03-09T16:03:48.216489
5908c8e4,8a861836,2023-10-01,2023-10-03,2,,5,standard,75.5,151.0,confirmed,2025-03-09T16:03:48.216801
b99a7d02,c43b5642,2023-09-23,2023-09-26,2,,11,confort,128.0,384.0,confirmed,2025-03-09T16:03:48.217122
d64c9085,0f45b5e1,2023-09-21,2023-09-25,3,confort,12,confort,125.75,503.0,confirmed,2025-03-09T16:03:48.217838
bcb2efd0,5fc15793,2023-10-04,2023-10-08,3,confort,6,confort,132.0,528.0,confirmed,2025-03-09T16:03:48.218898
da11c254,a5f8118d,2023-09-15,2023-09-17,2,standard,3,standard,91.5,183.0,confirmed,2025-03-09T16:03:48.219160
3741cfd5,e477099b,2023-09-10,2023-09-12,3,confort,12,confort,180.0,360.0,confirmed,2025-03-09T16:03:48.219366
5856cf02,d63a3e00,2023-09-22,2023-09-24,4,,14,suite,213.5,427.0,confirmed,2025-03-09T16:03:48.220424
